State         Time      Voltage         mAh_exp         csa_NJc    Cycle_Number         fail_id     Theta_Alpha Theta_Beta_edge         csb_NJc      Theta_Beta
  CDR        hours        Volts             mAh         mol/cm3               ,               .               ,               ,            conc
   D       0.00000      3.55000     0.00000E+00     9.13526E-07     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.00279      3.38670     1.29574E-02     3.28672E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.00558      3.38409     2.59149E-02     4.63124E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.00837      3.38079     3.88723E-02     5.43947E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.01116      3.37622     5.18298E-02     6.02065E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.01395      3.37064     6.47872E-02     6.49853E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.01674      3.36433     7.77447E-02     6.92326E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.01953      3.35755     9.07021E-02     7.31774E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.02232      3.35046     1.03660E-01     7.69351E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.02511      3.34319     1.16617E-01     8.05713E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.02790      3.33585     1.29574E-01     8.41258E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.03069      3.32848     1.42532E-01     8.76237E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.03348      3.32115     1.55489E-01     9.10829E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.03626      3.31389     1.68447E-01     9.45156E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.03905      3.30671     1.81404E-01     9.79276E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.04184      3.29965     1.94362E-01     1.01327E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.04463      3.29273     2.07319E-01     1.04715E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.04742      3.28593     2.20277E-01     1.08094E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.05021      3.27929     2.33234E-01     1.11468E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.05300      3.27279     2.46192E-01     1.14837E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.05579      3.26643     2.59149E-01     1.18201E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.05858      3.26019     2.72106E-01     1.21560E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.06137      3.25407     2.85064E-01     1.24916E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.06416      3.24805     2.98021E-01     1.28268E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.06695      3.24212     3.10979E-01     1.31618E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.06974      3.23624     3.23936E-01     1.34965E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.07253      3.23041     3.36894E-01     1.38310E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.07532      3.22458     3.49851E-01     1.41655E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.07811      3.21875     3.62809E-01     1.44999E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.08090      3.21289     3.75766E-01     1.48345E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.08369      3.20697     3.88723E-01     1.51693E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.08648      3.20097     4.01681E-01     1.55043E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.08927      3.19487     4.14638E-01     1.58397E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.09206      3.18864     4.27596E-01     1.61757E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.09485      3.18227     4.40553E-01     1.65122E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.09764      3.17574     4.53511E-01     1.68494E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.10043      3.16903     4.66468E-01     1.71874E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.10322      3.16212     4.79426E-01     1.75262E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.10601      3.15501     4.92383E-01     1.78660E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.10879      3.14769     5.05341E-01     1.82067E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.11158      3.14015     5.18298E-01     1.85483E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.11437      3.13238     5.31255E-01     1.88909E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.11716      3.12439     5.44213E-01     1.92345E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.11995      3.11616     5.57170E-01     1.95789E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.12274      3.10772     5.70128E-01     1.99243E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.12553      3.09905     5.83085E-01     2.02705E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.12832      3.09017     5.96043E-01     2.06176E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.13111      3.08108     6.09000E-01     2.09653E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.13390      3.07181     6.21958E-01     2.13138E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.13669      3.06236     6.34915E-01     2.16627E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.13948      3.05274     6.47872E-01     2.20123E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.14227      3.04298     6.60830E-01     2.23624E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.14506      3.03309     6.73787E-01     2.27129E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.14785      3.02308     6.86745E-01     2.30637E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.15064      3.01299     6.99702E-01     2.34148E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.15343      3.00284     7.12660E-01     2.37661E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.15622      2.99263     7.25617E-01     2.41177E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.15901      2.98240     7.38575E-01     2.44694E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.16180      2.97217     7.51532E-01     2.48212E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.16459      2.96196     7.64490E-01     2.51731E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.16738      2.95179     7.77447E-01     2.55249E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.17017      2.94168     7.90404E-01     2.58768E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.17296      2.93166     8.03362E-01     2.62286E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.17575      2.92174     8.16319E-01     2.65803E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.17854      2.91195     8.29277E-01     2.69318E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.18132      2.90231     8.42234E-01     2.72833E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.18411      2.89283     8.55192E-01     2.76345E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.18690      2.88354     8.68149E-01     2.79855E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.18969      2.87444     8.81107E-01     2.83363E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.19248      2.86556     8.94064E-01     2.86868E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.19527      2.85691     9.07021E-01     2.90369E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
