State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       3.24737      2.57377     1.40122E+00     0.00000E+00     1.00000E-03     9.99988E-01     1.16735E-05     5.46992E-06     2.90000E+00     1.00000E+00     1.28962E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.39780E+00    -6.01716E-04     9.76432E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.00000E+00     1.28647E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.39088E+00    -1.82678E-03     9.30669E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+00     1.28010E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.38382E+00    -3.07395E-03     8.86274E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.27362E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.37665E+00    -4.34370E-03     8.43242E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.26702E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.36934E+00    -5.63649E-03     8.01567E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.26030E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.36190E+00    -6.95274E-03     7.61242E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.25346E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.35432E+00    -8.29281E-03     7.22263E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.24648E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.34661E+00    -9.65698E-03     6.84624E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.23937E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.33875E+00    -1.10454E-02     6.48322E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.23211E+00     2.90000E+00     1.00000E+00
   D       3.24737      2.57377     1.33073E+00    -1.24580E-02     6.13353E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.22469E+00     2.90000E+00     1.00000E+00
