State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       0.42275      2.44686     1.41445E+00     0.00000E+00     1.00000E-03     9.99794E-01     2.06019E-04     6.47753E-05     2.90168E+00     1.00000E+00     1.21586E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.41103E+00    -4.51548E-04     9.82355E-04     9.99880E-01     1.20015E-04     4.94510E-05     2.90156E+00     2.00000E+00     1.21249E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.40430E+00    -1.36401E-03     9.47939E-04     9.99982E-01     1.84065E-05     1.92781E-05     2.90131E+00     3.00000E+00     1.20589E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.39763E+00    -2.28556E-03     9.14400E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.19935E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.39106E+00    -3.21587E-03     8.81743E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.19288E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.38457E+00    -4.15452E-03     8.49973E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.18650E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.37820E+00    -5.10104E-03     8.19092E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.18022E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.37194E+00    -6.05485E-03     7.89105E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.17403E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.36580E+00    -7.01528E-03     7.60016E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.16795E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.35980E+00    -7.98156E-03     7.31829E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.16198E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.35394E+00    -8.95278E-03     7.04549E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.15615E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.34824E+00    -9.92791E-03     6.78179E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.20000E+01     1.15045E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.34271E+00    -1.09058E-02     6.52724E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.30000E+01     1.14491E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.33736E+00    -1.18850E-02     6.28189E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.40000E+01     1.13954E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.33221E+00    -1.28641E-02     6.04577E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.50000E+01     1.13435E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.32727E+00    -1.38414E-02     5.81892E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.60000E+01     1.12937E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.32256E+00    -1.48148E-02     5.60140E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.70000E+01     1.12461E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.31809E+00    -1.57824E-02     5.39324E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.80000E+01     1.12009E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.31389E+00    -1.67418E-02     5.19447E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.90000E+01     1.11583E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.30998E+00    -1.76902E-02     5.00515E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.00000E+01     1.11187E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.30638E+00    -1.86250E-02     4.82530E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.10000E+01     1.10822E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.30311E+00    -1.95431E-02     4.65495E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.20000E+01     1.10492E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.30021E+00    -2.04411E-02     4.49414E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.30000E+01     1.10200E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29770E+00    -2.13155E-02     4.34289E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.40000E+01     1.09949E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29560E+00    -2.21625E-02     4.20122E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.50000E+01     1.09742E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29396E+00    -2.29783E-02     4.06915E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.60000E+01     1.09583E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29281E+00    -2.37587E-02     3.94668E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.70000E+01     1.09475E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29216E+00    -2.44997E-02     3.83383E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.80000E+01     1.09422E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29207E+00    -2.51969E-02     3.73057E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.90000E+01     1.09428E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29256E+00    -2.58463E-02     3.63691E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+01     1.09495E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29366E+00    -2.64437E-02     3.55282E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.10000E+01     1.09626E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29541E+00    -2.69852E-02     3.47828E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.20000E+01     1.09826E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.29782E+00    -2.74672E-02     3.41325E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.30000E+01     1.10095E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.30092E+00    -2.78864E-02     3.35769E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.40000E+01     1.10436E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.30474E+00    -2.82398E-02     3.31155E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.50000E+01     1.10849E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.30929E+00    -2.85251E-02     3.27477E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.60000E+01     1.11337E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.31457E+00    -2.87403E-02     3.24729E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.70000E+01     1.11898E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.32060E+00    -2.88842E-02     3.22904E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.80000E+01     1.12533E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.32738E+00    -2.89562E-02     3.21995E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.90000E+01     1.13239E+00     2.90000E+00     1.00000E+00
   D       0.42275      2.44686     1.33114E+00    -2.89562E-02     3.21995E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+01     1.13629E+00     2.90000E+00     1.00000E+00
   C       0.66925      2.00480     1.88794E+00     0.00000E+00     1.00000E-03     6.81526E-01     3.18474E-01     1.49117E-03     3.90000E+00     1.00000E+00     1.82172E+00     2.92693E+00     1.00000E+00
   C       0.66925      2.00480     1.88735E+00     4.51548E-04     9.82707E-04     6.83232E-01     3.16768E-01     1.49309E-03     3.88424E+00     2.00000E+00     1.81987E+00     2.92036E+00     1.00000E+00
   C       0.66925      2.00480     1.88619E+00     1.36102E-03     9.48529E-04     6.86568E-01     3.13432E-01     1.49681E-03     3.88324E+00     3.00000E+00     1.81625E+00     2.91989E+00     1.00000E+00
   C       0.66925      2.00480     1.88504E+00     2.27733E-03     9.15156E-04     6.89847E-01     3.10153E-01     1.50040E-03     3.88218E+00     4.00000E+00     1.81268E+00     2.91944E+00     1.00000E+00
   C       0.66925      2.00480     1.88390E+00     3.20108E-03     8.82645E-04     6.93067E-01     3.06933E-01     1.50387E-03     3.88107E+00     5.00000E+00     1.80916E+00     2.91901E+00     1.00000E+00
   C       0.66925      2.00480     1.88278E+00     4.13289E-03     8.51009E-04     6.96225E-01     3.03775E-01     1.50722E-03     3.87991E+00     6.00000E+00     1.80569E+00     2.91859E+00     1.00000E+00
   C       0.66925      2.00480     1.88167E+00     5.07332E-03     8.20254E-04     6.99319E-01     3.00681E-01     1.51042E-03     3.87870E+00     7.00000E+00     1.80229E+00     2.91820E+00     1.00000E+00
   C       0.66925      2.00480     1.88057E+00     6.02288E-03     7.90385E-04     7.02347E-01     2.97653E-01     1.51350E-03     3.87744E+00     8.00000E+00     1.79894E+00     2.91782E+00     1.00000E+00
