0           1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          
50          0.05        0.02        0.2         0           0.5         0.00633384  0.93        0.018555    72.4        0.00134338  1.06048     14.6475     0.00028705  0           4.47214     3.1398      2.00284     4.21793     0           0.751133    7.62541     227.32      0.00808659  1.61732     0.515102    0.62796     0.786338   
50          0.05        0.03        0.2         0           0.5         0.00633384  0.92        0.0183555   72.4        0.00132894  1.04908     14.49       0.000430575 0           4.47214     3.15391     2.00199     4.19132     0           0.7527      7.79677     228.342     0.0081794   1.63588     0.518683    0.630782    0.795283   
50          0.05        0.04        0.2         0           0.5         0.00633384  0.91        0.018156    72.4        0.00131449  1.03767     14.3325     0.0005741   0           4.47214     3.14304     2.00638     4.10878     0           0.73542     7.97414     226.305     0.00827455  1.65491     0.526531    0.628608    0.795477   
50          0.05        0.045       0.2         0           0.5         0.00633384  0.905       0.0180562   72.4        0.00130727  1.03197     14.2538     0.000645862 0           4.47214     3.14304     2.00638     4.10878     0           0.73542     7.97414     227.555     0.00822908  1.64582     0.523638    0.628608    0.795477   
50          0.05        0.051       0.2         0           0.5         0.00633384  0.899       0.0179365   72.4        0.0012986   1.02513     14.1593     0.000731977 0           4.47214     3.14033     2.00675     4.07801     0           0.730137    8.02739     227.358     0.00822912  1.64582     0.524092    0.628066    0.795477   
50          0.05        0.055       0.2         0           0.5         0.00633384  0.895       0.0178567   72.4        0.00129282  1.02057     14.0962     0.000789387 0           4.47214     3.15703     2.00419     4.05866     0           0.741393    8.07595     227.291     0.00824206  1.64841     0.52214     0.631406    0.802304   
50          0.05        0.06        0.2         0           0.5         0.00633384  0.89        0.0177569   72.4        0.0012856   1.01487     14.0175     0.000861149 0           4.47214     3.15703     2.00419     4.05866     0           0.741393    8.07595     228.568     0.00819602  1.6392      0.519223    0.631406    0.802304   
50          0.05        0.07        0.2         0           0.5         0.00633384  0.88        0.0175574   72.4        0.00127116  1.00346     13.86       0.00100467  0           4.47214     3.17926     2.00522     4.04131     0           0.752926    8.13326     230.177     0.00816143  1.63229     0.513417    0.635852    0.808833   
50          0.05        0.08        0.2         0           0.5         0.00633384  0.87        0.0173579   72.4        0.00125671  0.992061    13.7025     0.0011482   0           4.47214     3.19871     2.0005      4.01983     0           0.764376    8.18293     231.585     0.00811797  1.62359     0.507578    0.639742    0.815329   
50          0.05        0.09        0.2         0           0.5         0.00633384  0.86        0.0171584   72.4        0.00124227  0.980658    13.545      0.00129172  0           4.47214     3.21539     2.00839     3.99435     0           0.774318    8.2282      232.793     0.00806905  1.61381     0.501902    0.643078    0.822468   
