0           1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          
50          0.103125    0.09        0.33        0           0.5         0.00633384  0.806875    0.0160985   119.46      0.00192312  1.51813     12.7083     0.00129172  0           3.114       0.99599     2.54221     1.91541     0           0           2.77254     118.981     0.00420908  0.841817    0.845206    0.328677    0.828064   
50          0.103125    0.1         0.33        0           0.5         0.00633384  0.796875    0.0158989   119.46      0.00189929  1.49932     12.5508     0.00143525  0           3.114       0.99599     2.54274     1.89167     0           0           2.77303     118.981     0.00415764  0.831529    0.834877    0.328677    0.828206   
50          0.103125    0.15        0.33        0           0.5         0.00633384  0.746875    0.0149014   119.46      0.00178012  1.40524     11.7633     0.00215287  0           3.114       1.00156     2.54224     1.78288     0           0           2.78952     119.645     0.00391995  0.783989    0.782768    0.330515    0.828892   
50          0.103125    0.2         0.33        0           0.5         0.00633384  0.696875    0.0139038   119.46      0.00166095  1.31117     10.9758     0.0028705   0           3.114       1.00712     2.54161     1.67276     0           0           2.80589     120.31      0.00367899  0.735798    0.730596    0.33235     0.829587   
50          0.15625     0.02        0.33        0           0.5         0.00633384  0.82375     0.0164351   119.46      0.00196334  1.54988     12.9741     0.00028705  0           2.52982     0.63423     2.51958     1.24521     0           0           1.7309      75.7651     0.0026827   0.536539    0.84597     0.209296    0.722449   
50          0.15625     0.03        0.33        0           0.5         0.00633384  0.81375     0.0162356   119.46      0.00193951  1.53107     12.8166     0.000430575 0           2.52982     0.77888     2.52893     1.51064     0           0           2.13177     93.0448     0.00326388  0.652776    0.838096    0.25703     0.788759   
50          0.15625     0.04        0.33        0           0.5         0.00633384  0.80375     0.0160361   119.46      0.00191567  1.51225     12.6591     0.0005741   0           2.52982     1.01255     2.52012     1.92763     0           0           2.80054     120.206     0.00423511  0.847023    0.836525    0.334142    0.824916   
50          0.15625     0.045       0.33        0           0.5         0.00633384  0.79875     0.0159363   119.46      0.00190376  1.50284     12.5803     0.000645862 0           2.52982     1.01255     2.52012     1.92763     0           0           2.80054     120.958     0.00420877  0.841754    0.831321    0.334142    0.824916   
50          0.15625     0.051       0.33        0           0.5         0.00633384  0.79275     0.0158166   119.46      0.00188946  1.49156     12.4858     0.000731977 0           2.52982     1.03202     2.53673     1.94994     0           0           2.87728     123.284     0.00429163  0.858325    0.831694    0.340567    0.83337    
50          0.15625     0.055       0.33        0           0.5         0.00633384  0.78875     0.0157368   119.46      0.00187992  1.48403     12.4228     0.000789387 0           2.52982     1.02924     2.5409      1.92261     0           0           2.87301     122.173     0.00426363  0.852725    0.8285      0.339649    0.834618   
50          0.15625     0.06        0.33        0           0.5         0.00633384  0.78375     0.0156371   119.46      0.001868    1.47462     12.3441     0.000861149 0           2.52982     1.02924     2.5409      1.92261     0           0           2.87301     122.952     0.0042366   0.84732     0.823248    0.339649    0.834618   
50          0.15625     0.07        0.33        0           0.5         0.00633384  0.77375     0.0154376   119.46      0.00184417  1.45581     12.1866     0.00100467  0           2.52982     1.02924     2.54123     1.89808     0           0           2.87335     122.952     0.00418304  0.836608    0.812841    0.339649    0.834798   
50          0.15625     0.08        0.33        0           0.5         0.00633384  0.76375     0.015238    119.46      0.00182034  1.43699     12.0291     0.0011482   0           2.52982     1.02924     2.54147     1.87355     0           0           2.8736      122.952     0.00412933  0.825867    0.802404    0.339649    0.834923   
50          0.15625     0.09        0.33        0           0.5         0.00633384  0.75375     0.0150385   119.46      0.0017965   1.41818     11.8716     0.00129172  0           2.52982     1.03202     2.54021     1.85401     0           0           2.88089     123.284     0.0040856   0.817121    0.791769    0.340567    0.835039   
50          0.15625     0.1         0.33        0           0.5         0.00633384  0.74375     0.014839    119.46      0.00177267  1.39936     11.7141     0.00143525  0           2.52982     1.03202     2.54042     1.82942     0           0           2.8811      123.285     0.0040317   0.80634     0.781322    0.340567    0.83515    
50          0.15625     0.15        0.33        0           0.5         0.00633384  0.69375     0.0138414   119.46      0.0016535   1.30529     10.9266     0.00215287  0           2.52982     1.03202     2.54142     1.70643     0           0           2.8821      123.284     0.00376197  0.752395    0.72905     0.340567    0.835681   
50          0.15625     0.2         0.33        0           0.5         0.00633384  0.64375     0.0128438   119.46      0.00153433  1.21121     10.1391     0.0028705   0           2.52982     1.0348      2.54089     1.58771     0           0           2.89014     123.616     0.00350058  0.700116    0.676571    0.341484    0.83619    
50          0.209375    0.02        0.33        0           0.5         0.00633384  0.770625    0.0153752   119.46      0.00183672  1.44993     12.1373     0.00028705  0           2.18543     0.62654     2.52946     1.15077     0           0           1.7169      74.8458     0.00248937  0.497875    0.794642    0.206758    0.725371   
50          0.209375    0.03        0.33        0           0.5         0.00633384  0.760625    0.0151757   119.46      0.00181289  1.43111     11.9798     0.000430575 0           2.18543     0.76855     2.53824     1.39329     0           0           2.11136     91.8106     0.00302159  0.604318    0.786309    0.253621    0.790028   
50          0.209375    0.04        0.33        0           0.5         0.00633384  0.750625    0.0149762   119.46      0.00178905  1.4123      11.8223     0.0005741   0           2.18543     1.00525     2.53006     1.78645     0           0           2.78822     119.286     0.00393779  0.787558    0.783445    0.331732    0.826274   
50          0.209375    0.045       0.33        0           0.5         0.00633384  0.745625    0.0148764   119.46      0.00177714  1.40289     11.7436     0.000645862 0           2.18543     1.00525     2.53006     1.78645     0           0           2.78822     120.086     0.00391156  0.782312    0.778227    0.331732    0.826274   
50          0.209375    0.051       0.33        0           0.5         0.00633384  0.739625    0.0147567   119.46      0.00176284  1.3916      11.6491     0.000731977 0           2.18543     1.04423     2.5362      1.8408      0           0           2.91437     124.743     0.00405564  0.811128    0.776771    0.344596    0.836625   
50          0.209375    0.055       0.33        0           0.5         0.00633384  0.735625    0.0146769   119.46      0.0017533   1.38407     11.5861     0.000789387 0           2.18543     1.04145     2.54029     1.81355     0           0           2.91001     123.565     0.00402767  0.805533    0.773473    0.343678    0.837707   
50          0.209375    0.06        0.33        0           0.5         0.00633384  0.730625    0.0145771   119.46      0.00174139  1.37467     11.5073     0.000861149 0           2.18543     1.04145     2.54029     1.81355     0           0           2.91001     124.411     0.00400029  0.800058    0.768215    0.343678    0.837707   
50          0.209375    0.07        0.33        0           0.5         0.00633384  0.720625    0.0143776   119.46      0.00171755  1.35585     11.3498     0.00100467  0           2.18543     1.04145     2.54054     1.78873     0           0           2.91027     124.411     0.0039459   0.789179    0.75777     0.343678    0.83781    
50          0.209375    0.08        0.33        0           0.5         0.00633384  0.710625    0.0141781   119.46      0.00169372  1.33704     11.1923     0.0011482   0           2.18543     1.04145     2.5407      1.76391     0           0           2.91044     124.411     0.00389136  0.778272    0.747297    0.343678    0.837895   
