State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       0.88551      2.54143     1.40357E+00     0.00000E+00     1.00000E-03     9.99968E-01     3.16725E-05     1.60044E-05     2.90117E+00     1.00000E+00     1.26256E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.39895E+00    -6.73312E-04     9.73889E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.00000E+00     1.25822E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.38948E+00    -2.05606E-03     9.23035E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+00     1.24934E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.37969E+00    -3.47676E-03     8.73554E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.24015E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.36957E+00    -4.93737E-03     8.25453E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.23062E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.35910E+00    -6.43995E-03     7.78737E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.22074E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.34828E+00    -7.98668E-03     7.33413E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.21049E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.33708E+00    -9.57982E-03     6.89492E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.19985E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.32550E+00    -1.12217E-02     6.46982E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.18880E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.31351E+00    -1.29147E-02     6.05898E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.17729E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.30108E+00    -1.46613E-02     5.66254E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.16530E+00     2.90000E+00     1.00000E+00
   D       0.88551      2.54143     1.28820E+00    -1.64635E-02     5.28069E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.20000E+01     1.15280E+00     2.90000E+00     1.00000E+00
