State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       1.66942      2.55604     1.40250E+00     0.00000E+00     1.00000E-03     9.99977E-01     2.32152E-05     1.12174E-05     2.90113E+00     1.00000E+00     1.27245E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.39898E+00    -5.61093E-04     9.78043E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.00000E+00     1.26922E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.39193E+00    -1.68710E-03     9.35869E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+00     1.26273E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.38482E+00    -2.81517E-03     8.95432E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.25617E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.37765E+00    -3.94331E-03     8.56732E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.24956E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.37045E+00    -5.06917E-03     8.19770E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.24290E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.36323E+00    -6.19007E-03     7.84546E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.23619E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.35601E+00    -7.30292E-03     7.51066E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.22946E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.34880E+00    -8.40423E-03     7.19332E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.22273E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.34163E+00    -9.48999E-03     6.89353E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.21600E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.33454E+00    -1.05557E-02     6.61135E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.20932E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.32755E+00    -1.15964E-02     6.34690E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.20000E+01     1.20271E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.32071E+00    -1.26065E-02     6.10029E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.30000E+01     1.19621E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.31405E+00    -1.35798E-02     5.87168E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.40000E+01     1.18986E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.30764E+00    -1.45099E-02     5.66121E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.50000E+01     1.18372E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.30153E+00    -1.53895E-02     5.46905E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.60000E+01     1.17784E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.29579E+00    -1.62114E-02     5.29539E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.70000E+01     1.17228E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.29047E+00    -1.69678E-02     5.14041E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.80000E+01     1.16712E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.28565E+00    -1.76510E-02     5.00431E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.90000E+01     1.16243E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.28140E+00    -1.82536E-02     4.88725E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.00000E+01     1.15829E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.27779E+00    -1.87683E-02     4.78942E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.10000E+01     1.15475E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.27488E+00    -1.91887E-02     4.71097E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.20000E+01     1.15189E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.27272E+00    -1.95093E-02     4.65202E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.30000E+01     1.14978E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.27137E+00    -1.97255E-02     4.61267E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.40000E+01     1.14845E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.27085E+00    -1.98343E-02     4.59298E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.50000E+01     1.14794E+00     2.90000E+00     1.00000E+00
   D       1.66942      2.55604     1.27101E+00    -1.98343E-02     4.59298E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.60000E+01     1.14809E+00     2.90000E+00     1.00000E+00
   C       3.38023      2.00460     1.92954E+00     0.00000E+00     1.00000E-03     9.55703E-02     9.04430E-01     2.26932E-04     3.89803E+00     1.00000E+00     2.33049E+00     3.06291E+00     1.00000E+00
   C       3.38023      2.00460     1.92761E+00     5.61093E-04     9.78658E-04     9.72563E-02     9.02744E-01     2.30094E-04     3.89795E+00     2.00000E+00     2.32899E+00     3.06143E+00     1.00000E+00
   C       3.38023      2.00460     1.92370E+00     1.59104E-03     9.36231E-04     1.00686E-01     8.99314E-01     2.36447E-04     3.89776E+00     3.00000E+00     2.32593E+00     3.05851E+00     1.00000E+00
   C       3.38023      2.00460     1.91974E+00     2.53087E-03     8.95231E-04     1.04222E-01     8.95778E-01     2.42897E-04     3.89757E+00     4.00000E+00     2.32279E+00     3.05559E+00     1.00000E+00
   C       3.38023      2.00460     1.91577E+00     3.38379E-03     8.55791E-04     1.07856E-01     8.92144E-01     2.49444E-04     3.89735E+00     5.00000E+00     2.31956E+00     3.05269E+00     1.00000E+00
   C       3.38023      2.00460     1.91183E+00     4.15344E-03     8.17943E-04     1.11581E-01     8.88419E-01     2.56091E-04     3.89711E+00     6.00000E+00     2.31625E+00     3.04982E+00     1.00000E+00
   C       3.38023      2.00460     1.90802E+00     4.84391E-03     7.81709E-04     1.15386E-01     8.84614E-01     2.62851E-04     3.89685E+00     7.00000E+00     2.31287E+00     3.04699E+00     1.00000E+00
   C       3.38023      2.00460     1.90443E+00     5.45974E-03     7.47105E-04     1.19260E-01     8.80740E-01     2.69757E-04     3.89657E+00     8.00000E+00     2.30944E+00     3.04419E+00     1.00000E+00
   C       3.38023      2.00460     1.90128E+00     6.00593E-03     7.14148E-04     1.23184E-01     8.76816E-01     2.76896E-04     3.89626E+00     9.00000E+00     2.30597E+00     3.04143E+00     1.00000E+00
   C       3.38023      2.00460     1.89922E+00     6.48802E-03     6.82851E-04     1.27142E-01     8.72858E-01     2.84613E-04     3.89593E+00     1.00000E+01     2.30249E+00     3.03872E+00     1.00000E+00
   C       3.38023      2.00460     1.89777E+00     6.91173E-03     6.53239E-04     1.31110E-01     8.68890E-01     2.92643E-04     3.89557E+00     1.10000E+01     2.29900E+00     3.03607E+00     1.00000E+00
   C       3.38023      2.00460     1.89635E+00     7.28021E-03     6.25347E-04     1.35062E-01     8.64938E-01     3.00607E-04     3.89519E+00     1.20000E+01     2.29552E+00     3.03350E+00     1.00000E+00
   C       3.38023      2.00460     1.89498E+00     7.59693E-03     5.99219E-04     1.38968E-01     8.61032E-01     3.08444E-04     3.89478E+00     1.30000E+01     2.29207E+00     3.03101E+00     1.00000E+00
   C       3.38023      2.00460     1.89365E+00     7.86565E-03     5.74898E-04     1.42794E-01     8.57206E-01     3.16085E-04     3.89435E+00     1.40000E+01     2.28869E+00     3.02863E+00     1.00000E+00
   C       3.38023      2.00460     1.89237E+00     8.09049E-03     5.52428E-04     1.46502E-01     8.53498E-01     3.23457E-04     3.89391E+00     1.50000E+01     2.28542E+00     3.02636E+00     1.00000E+00
   C       3.38023      2.00460     1.89117E+00     8.27578E-03     5.31851E-04     1.50052E-01     8.49948E-01     3.30482E-04     3.89346E+00     1.60000E+01     2.28227E+00     3.02424E+00     1.00000E+00
   C       3.38023      2.00460     1.89003E+00     8.42607E-03     5.13206E-04     1.53400E-01     8.46600E-01     3.37076E-04     3.89300E+00     1.70000E+01     2.27930E+00     3.02226E+00     1.00000E+00
   C       3.38023      2.00460     1.88898E+00     8.54598E-03     4.96531E-04     1.56502E-01     8.43498E-01     3.43157E-04     3.89255E+00     1.80000E+01     2.27654E+00     3.02046E+00     1.00000E+00
   C       3.38023      2.00460     1.88804E+00     8.64012E-03     4.81860E-04     1.59314E-01     8.40686E-01     3.48648E-04     3.89212E+00     1.90000E+01     2.27403E+00     3.01884E+00     1.00000E+00
   C       3.38023      2.00460     1.88720E+00     8.71286E-03     4.69225E-04     1.61792E-01     8.38208E-01     3.53463E-04     3.89172E+00     2.00000E+01     2.27182E+00     3.01744E+00     1.00000E+00
