State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       0.63849      2.46299     1.40935E+00     0.00000E+00     1.00000E-03     9.99868E-01     1.31701E-04     4.19405E-05     2.90000E+00     1.00000E+00     1.23961E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.40548E+00    -5.29042E-04     9.79304E-04     9.99955E-01     4.54043E-05     2.45795E-05     2.90000E+00     2.00000E+00     1.23592E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.39782E+00    -1.60366E-03     9.38978E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+00     1.22862E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.39020E+00    -2.69489E-03     8.99723E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.22135E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.38263E+00    -3.80275E-03     8.61543E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.21413E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.37512E+00    -4.92717E-03     8.24443E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.20694E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.36768E+00    -6.06803E-03     7.88427E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.19980E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.36031E+00    -7.22506E-03     7.53502E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.19272E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.35303E+00    -8.39791E-03     7.19673E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.18569E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.34584E+00    -9.58606E-03     6.86946E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.17873E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.33875E+00    -1.07888E-02     6.55328E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.17185E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.33178E+00    -1.20053E-02     6.24824E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.20000E+01     1.16506E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.32493E+00    -1.32343E-02     5.95442E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.30000E+01     1.15838E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.31823E+00    -1.44745E-02     5.67190E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.40000E+01     1.15181E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.31168E+00    -1.57242E-02     5.40073E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.50000E+01     1.14537E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.30531E+00    -1.69812E-02     5.14101E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.60000E+01     1.13910E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.29915E+00    -1.82432E-02     4.89282E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.70000E+01     1.13301E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.29321E+00    -1.95071E-02     4.65622E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.80000E+01     1.12714E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.28753E+00    -2.07695E-02     4.43129E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.90000E+01     1.12151E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.28215E+00    -2.20264E-02     4.21812E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.00000E+01     1.11618E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.27709E+00    -2.32732E-02     4.01678E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.10000E+01     1.11117E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.27242E+00    -2.45047E-02     3.82733E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.20000E+01     1.10655E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.26817E+00    -2.57151E-02     3.64983E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.30000E+01     1.10237E+00     2.90000E+00     1.00000E+00
   D       0.63849      2.46299     1.26440E+00    -2.68977E-02     3.48435E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.40000E+01     1.09869E+00     2.90000E+00     1.00000E+00
