State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       1.68132      2.52150     1.40331E+00     0.00000E+00     1.00000E-03     9.99960E-01     4.03986E-05     1.48446E-05     2.90115E+00     1.00000E+00     1.27432E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.39917E+00    -6.56599E-04     9.74283E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.00000E+00     1.27050E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.39107E+00    -1.98370E-03     9.24912E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+00     1.26303E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.38310E+00    -3.32323E-03     8.77604E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.25567E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.37527E+00    -4.67333E-03     8.32360E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.24841E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.36759E+00    -6.03168E-03     7.89182E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.24128E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.36009E+00    -7.39545E-03     7.48074E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.23429E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.35279E+00    -8.76119E-03     7.09043E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.22746E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.34572E+00    -1.01247E-02     6.72097E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.22082E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.33892E+00    -1.14811E-02     6.37247E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.21441E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.33244E+00    -1.28246E-02     6.04503E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.20827E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.32632E+00    -1.41483E-02     5.73881E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.20000E+01     1.20247E+00     2.90000E+00     1.00000E+00
   D       1.68132      2.52150     1.32065E+00    -1.54444E-02     5.45394E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.30000E+01     1.19706E+00     2.90000E+00     1.00000E+00
