State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       0.28944      2.41582     1.18174E+00    -4.30685E-02     1.87847E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.10000E+01     9.58930E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.17483E+00    -4.48540E-02     1.75280E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.20000E+01     9.52883E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.16837E+00    -4.66120E-02     1.63729E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.30000E+01     9.47439E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.16248E+00    -4.83278E-02     1.53192E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.40000E+01     9.42724E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.15733E+00    -4.99841E-02     1.43665E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.50000E+01     9.38878E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.15310E+00    -5.15620E-02     1.35143E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.60000E+01     9.36051E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.14996E+00    -5.30406E-02     1.27617E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.70000E+01     9.34400E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.14811E+00    -5.43978E-02     1.21080E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.80000E+01     9.34081E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.14775E+00    -5.56113E-02     1.15520E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.90000E+01     9.35247E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.14903E+00    -5.66593E-02     1.10925E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+01     9.38032E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.15207E+00    -5.75217E-02     1.07282E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.10000E+01     9.42543E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.15693E+00    -5.81817E-02     1.04575E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.20000E+01     9.48851E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.16363E+00    -5.86269E-02     1.02788E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.30000E+01     9.56976E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.17211E+00    -5.88500E-02     1.01904E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.40000E+01     9.66886E-01     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.17723E+00    -5.88500E-02     1.01904E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.50000E+01     9.72724E-01     2.90000E+00     1.00000E+00
   C       0.46051      2.00254     1.87960E+00     0.00000E+00     1.00000E-03     7.71203E-01     2.28797E-01     1.65853E-03     3.90000E+00     1.00000E+00     1.73011E+00     2.91530E+00     1.00000E+00
   C       0.46051      2.00254     1.87885E+00     5.32056E-04     9.79656E-04     7.72878E-01     2.27122E-01     1.65955E-03     3.87349E+00     2.00000E+00     1.72803E+00     2.91212E+00     1.00000E+00
   C       0.46051      2.00254     1.87736E+00     1.61001E-03     9.39320E-04     7.76188E-01     2.23812E-01     1.66148E-03     3.87144E+00     3.00000E+00     1.72389E+00     2.91176E+00     1.00000E+00
   C       0.46051      2.00254     1.87585E+00     2.70279E-03     8.99757E-04     7.79482E-01     2.20518E-01     1.66324E-03     3.86922E+00     4.00000E+00     1.71975E+00     2.91141E+00     1.00000E+00
   C       0.46051      2.00254     1.87432E+00     3.81168E-03     8.61030E-04     7.82759E-01     2.17241E-01     1.66486E-03     3.86682E+00     5.00000E+00     1.71560E+00     2.91107E+00     1.00000E+00
   C       0.46051      2.00254     1.87276E+00     4.93807E-03     8.23150E-04     7.86023E-01     2.13977E-01     1.66631E-03     3.86422E+00     6.00000E+00     1.71144E+00     2.91074E+00     1.00000E+00
   C       0.46051      2.00254     1.87118E+00     6.08340E-03     7.86126E-04     7.89275E-01     2.10725E-01     1.66759E-03     3.86140E+00     7.00000E+00     1.70727E+00     2.91042E+00     1.00000E+00
   C       0.46051      2.00254     1.86956E+00     7.24921E-03     7.49965E-04     7.92516E-01     2.07484E-01     1.66870E-03     3.85835E+00     8.00000E+00     1.70308E+00     2.91012E+00     1.00000E+00
