State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       0.40596      2.50194     1.40872E+00     0.00000E+00     1.00000E-03     9.99923E-01     7.67781E-05     3.91008E-05     2.90134E+00     1.00000E+00     1.21511E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.40538E+00    -4.42104E-04     9.82715E-04     9.99971E-01     2.91718E-05     2.41233E-05     2.90122E+00     2.00000E+00     1.21186E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.39864E+00    -1.33611E-03     9.48951E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+00     1.20530E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.39181E+00    -2.23976E-03     9.15999E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.19866E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.38490E+00    -3.15285E-03     8.83862E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.19192E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.37791E+00    -4.07510E-03     8.52543E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.18509E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.37084E+00    -5.00619E-03     8.22045E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.17818E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.36371E+00    -5.94572E-03     7.92374E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.17119E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.35652E+00    -6.89321E-03     7.63531E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.16412E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.34928E+00    -7.84808E-03     7.35523E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.15698E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.34200E+00    -8.80965E-03     7.08352E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.14977E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.33469E+00    -9.77711E-03     6.82025E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.20000E+01     1.14249E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.32735E+00    -1.07495E-02     6.56545E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.30000E+01     1.13516E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.32000E+00    -1.17258E-02     6.31919E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.40000E+01     1.12779E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.31265E+00    -1.27047E-02     6.08151E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.50000E+01     1.12038E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.30530E+00    -1.36847E-02     5.85247E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.60000E+01     1.11294E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.29798E+00    -1.46642E-02     5.63215E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.70000E+01     1.10549E+00     2.90000E+00     1.00000E+00
   D       0.40596      2.50194     1.29069E+00    -1.56413E-02     5.42060E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.80000E+01     1.09804E+00     2.90000E+00     1.00000E+00
